Province;Total infected cases;Today infected cases;Deaths;Date
Khanh Hoa;4,313;0;29;15-Thg8-21
Dong Thap;4,229;0;98;15-Thg8-21
Tien Giang;4,136;0;134;15-Thg8-21
Tay Ninh;3,509;0;7;15-Thg8-21
Ha Noi;2,702;0;31;15-Thg8-21
Ba Ria - Vung Tau;2,686;0;21;15-Thg8-21
Can Tho;2,516;0;45;15-Thg8-21
Da Nang;2,457;0;48;15-Thg8-21
Phu Yen;2,068;0;0;15-Thg8-21
Bac Ninh;1,76;0;15;15-Thg8-21
Vinh Long;1,574;0;23;15-Thg8-21
Binh Thuan;1,427;0;10;15-Thg8-21
Ben Tre;1,282;0;27;15-Thg8-21
Hai Duong;923;0;0;15-Thg8-21
Tra Vinh;820;0;5;15-Thg8-21
An Giang;787;0;1;15-Thg8-21
Ninh Thuan;587;0;3;15-Thg8-21
Kien Giang;563;0;4;15-Thg8-21
Nghe An;473;0;1;15-Thg8-21
Soc Trang;470;0;5;15-Thg8-21
Quang Ngai;466;0;0;15-Thg8-21
Binh Dinh;459;0;3;15-Thg8-21
Dak Lak;438;0;1;15-Thg8-21
Gia Lai;367;0;0;15-Thg8-21
Quang Nam;363;0;4;15-Thg8-21
Hau Giang;343;0;2;15-Thg8-21
Hung Yen;325;0;0;15-Thg8-21
Binh Phuoc;305;0;0;15-Thg8-21
Ha Tinh;289;0;2;15-Thg8-21
Thua Thien Hue;269;0;0;15-Thg8-21
Vinh Phuc;254;0;1;15-Thg8-21
Dak Nong;181;0;0;15-Thg8-21
Lam Dong;178;0;0;15-Thg8-21
Thanh Hoa;174;0;0;15-Thg8-21
Lang Son;146;0;1;15-Thg8-21
Bac Lieu;130;0;0;15-Thg8-21
Thai Binh;113;0;0;15-Thg8-21
Quang Ninh;104;0;0;15-Thg8-21
Ninh Binh;102;0;0;15-Thg8-21
Son La;85;0;0;15-Thg8-21
Quang Binh;79;0;0;15-Thg8-21
Ha Nam;74;0;0;15-Thg8-21
Lao Cai;61;0;0;15-Thg8-21
Dien Bien;61;0;0;15-Thg8-21
Ca Mau;59;0;1;15-Thg8-21
Quang Tri;49;0;1;15-Thg8-21
Nam Dinh;46;0;0;15-Thg8-21
Hoa Binh;45;0;0;15-Thg8-21
Hai Phong;38;0;0;15-Thg8-21
Ha Giang;24;0;0;15-Thg8-21
Kon Tum;21;0;0;15-Thg8-21
Thai Nguyen;19;0;0;15-Thg8-21
Phu Tho;18;0;0;15-Thg8-21
Yen Bai;7;0;0;15-Thg8-21
Bac Kan;6;0;0;15-Thg8-21
Tuyen Quang;2;0;0;15-Thg8-21
Lai Chau;2;0;0;15-Thg8-21
Ho Chi Minh;149035;0;4597;16-Thg8-21
Binh Duong;43968;0;361;16-Thg8-21
Long An;14399;0;162;16-Thg8-21
Dong Nai;13717;0;98;16-Thg8-21
Bac Giang;5824;0;12;16-Thg8-21
Dong Thap;4500;0;100;16-Thg8-21
Khanh Hoa;4479;0;30;16-Thg8-21
Tien Giang;4345;0;140;16-Thg8-21
Tay Ninh;3668;0;7;16-Thg8-21
Ha Noi;2741;0;31;16-Thg8-21
Ba Ria - Vung Tau;2702;0;24;16-Thg8-21
Can Tho;2686;0;46;16-Thg8-21
Da Nang;2540;0;48;16-Thg8-21
Phu Yen;2095;0;0;16-Thg8-21
Bac Ninh;1781;0;15;16-Thg8-21
Vinh Long;1574;0;23;16-Thg8-21
Binh Thuan;1466;0;10;16-Thg8-21
Ben Tre;1342;0;28;16-Thg8-21
Hai Duong;928;0;0;16-Thg8-21
An Giang;821;0;1;16-Thg8-21
Tra Vinh;820;0;7;16-Thg8-21
Ninh Thuan;609;0;3;16-Thg8-21
Kien Giang;582;0;4;16-Thg8-21
Soc Trang;552;0;7;16-Thg8-21
Quang Ngai;500;0;0;16-Thg8-21
Nghe An;500;0;1;16-Thg8-21
Binh Dinh;481;0;3;16-Thg8-21
Dak Lak;438;0;1;16-Thg8-21
Quang Nam;389;0;5;16-Thg8-21
Gia Lai;375;0;0;16-Thg8-21
Hau Giang;353;0;2;16-Thg8-21
Hung Yen;326;0;0;16-Thg8-21
Binh Phuoc;309;0;1;16-Thg8-21
Ha Tinh;303;0;2;16-Thg8-21
Thua Thien Hue;277;0;0;16-Thg8-21
Vinh Phuc;254;0;1;16-Thg8-21
Dak Nong;194;0;0;16-Thg8-21
Lam Dong;189;0;0;16-Thg8-21
